domain,entity,c1_properties,c3_properties,c1_text_segments,c3_text_segments,c1_entity_links,c3_entity_links,c3_presentation_elements,c3_presentation_list,c3_jsonld_properties,text_shared,text_c1_only,text_c3_only,text_jaccard,text_c1_coverage,text_c3_coverage,link_shared,link_c1_only,link_c3_only,link_jaccard,text_c1_only_sample,text_c3_only_sample
blackbriar,wl172055_01_850066902011,43,4,47,2,4,1,2,"agent_instructions, breadcrumb_navigation",42,4,43,0,0.0851063829787234,0.0851063829787234,1.0,1,3,0,0.25,850066902011; details abouthttps://data.wordlift.io/wl172055/01/850066902011; http://schema.org/newcondition,
blackbriar,wl172055_01_850066902028,43,4,47,2,4,1,2,"agent_instructions, breadcrumb_navigation",42,4,43,0,0.0851063829787234,0.0851063829787234,1.0,1,3,0,0.25,850066902028; details abouthttps://data.wordlift.io/wl172055/01/850066902028; http://schema.org/newcondition,
blackbriar,wl172055_01_850066902035,43,4,47,2,4,1,2,"agent_instructions, breadcrumb_navigation",42,4,43,0,0.0851063829787234,0.0851063829787234,1.0,1,3,0,0.25,850066902035; details abouthttps://data.wordlift.io/wl172055/01/850066902035; http://schema.org/newcondition,
blackbriar,wl172055_01_850066902042,26,4,30,2,4,1,2,"agent_instructions, breadcrumb_navigation",25,3,27,0,0.1,0.1,1.0,1,3,0,0.25,6546455ods; 850066902042; details abouthttps://data.wordlift.io/wl172055/01/850066902042,
blackbriar,wl172055_01_850066902059,43,4,47,2,4,1,2,"agent_instructions, breadcrumb_navigation",42,4,43,0,0.0851063829787234,0.0851063829787234,1.0,1,3,0,0.25,850066902059; details abouthttps://data.wordlift.io/wl172055/01/850066902059; http://schema.org/newcondition,
blackbriar,wl172055_01_850066902264,45,4,49,2,4,1,2,"agent_instructions, breadcrumb_navigation",44,4,45,0,0.08163265306122448,0.08163265306122448,1.0,1,3,0,0.25,850066902264; details abouthttps://data.wordlift.io/wl172055/01/850066902264; http://schema.org/newcondition,
blackbriar,wl172055_01_850066902271,45,4,49,2,4,1,2,"agent_instructions, breadcrumb_navigation",44,4,45,0,0.08163265306122448,0.08163265306122448,1.0,1,3,0,0.25,850066902271; details abouthttps://data.wordlift.io/wl172055/01/850066902271; http://schema.org/newcondition,
blackbriar,wl172055_01_850066902288,45,4,49,2,4,1,2,"agent_instructions, breadcrumb_navigation",44,4,45,0,0.08163265306122448,0.08163265306122448,1.0,1,3,0,0.25,850066902288; details abouthttps://data.wordlift.io/wl172055/01/850066902288; http://schema.org/newcondition,
blackbriar,wl172055_01_850066902295,45,4,49,2,4,1,2,"agent_instructions, breadcrumb_navigation",44,4,45,0,0.08163265306122448,0.08163265306122448,1.0,1,3,0,0.25,850066902295; details abouthttps://data.wordlift.io/wl172055/01/850066902295; http://schema.org/newcondition,
blackbriar,wl172055_01_850066902356,45,4,49,2,4,1,2,"agent_instructions, breadcrumb_navigation",44,3,46,0,0.061224489795918366,0.061224489795918366,1.0,1,3,0,0.25,850066902356; details abouthttps://data.wordlift.io/wl172055/01/850066902356; duffel bag,
blackbriar,wl172055_01_850066902363,45,4,49,2,4,1,2,"agent_instructions, breadcrumb_navigation",44,3,46,0,0.061224489795918366,0.061224489795918366,1.0,1,3,0,0.25,850066902363; details abouthttps://data.wordlift.io/wl172055/01/850066902363; duffel bag,
blackbriar,wl172055_01_850066902387,45,4,49,2,4,1,2,"agent_instructions, breadcrumb_navigation",44,3,46,0,0.061224489795918366,0.061224489795918366,1.0,1,3,0,0.25,850066902387; details abouthttps://data.wordlift.io/wl172055/01/850066902387; duffel bag,
blackbriar,wl172055_01_850066902400,45,4,49,2,4,1,2,"agent_instructions, breadcrumb_navigation",44,3,46,0,0.061224489795918366,0.061224489795918366,1.0,1,3,0,0.25,850066902400; details abouthttps://data.wordlift.io/wl172055/01/850066902400; duffel bag,
blackbriar,wl172055_01_850066902486,53,4,57,2,4,1,2,"agent_instructions, breadcrumb_navigation",52,4,53,0,0.07017543859649122,0.07017543859649122,1.0,1,3,0,0.25,850066902486; details abouthttps://data.wordlift.io/wl172055/01/850066902486; http://schema.org/newcondition,
blackbriar,wl172055_01_850066902509,53,4,57,2,4,1,2,"agent_instructions, breadcrumb_navigation",52,4,53,0,0.07017543859649122,0.07017543859649122,1.0,1,3,0,0.25,850066902509; details abouthttps://data.wordlift.io/wl172055/01/850066902509; http://schema.org/newcondition,
blackbriar,wl172055_01_850066902516,33,4,37,2,4,1,2,"agent_instructions, breadcrumb_navigation",32,4,33,0,0.10810810810810811,0.10810810810810811,1.0,1,3,0,0.25,850066902516; details abouthttps://data.wordlift.io/wl172055/01/850066902516; http://schema.org/newcondition,
blackbriar,wl172055_01_850066902523,33,4,37,2,4,1,2,"agent_instructions, breadcrumb_navigation",32,4,33,0,0.10810810810810811,0.10810810810810811,1.0,1,3,0,0.25,850066902523; details abouthttps://data.wordlift.io/wl172055/01/850066902523; http://schema.org/newcondition,
